type,created_at,actor,repo,name
PullRequestReviewCommentEvent,2023-09-01 13:06:42,Yuri Prykhodko,solid-software/worklog,Task/WLOG - 366 Adding screen to fill FullName if there isn't
PullRequestReviewCommentEvent,2023-09-01 13:08:42,Yuri Prykhodko,solid-software/worklog,Task/WLOG - 366 Adding screen to fill FullName if there isn't
PullRequestReviewEvent,2023-09-01 13:09:06,Yuri Prykhodko,solid-software/worklog,Task/WLOG - 366 Adding screen to fill FullName if there isn't
PullRequestReviewEvent,2023-09-01 13:09:06,Yuri Prykhodko,solid-software/worklog,Task/WLOG - 366 Adding screen to fill FullName if there isn't
PullRequestReviewEvent,2023-08-30 18:17:19,Yuri Prykhodko,solid-software/worklog,Task/Decompose EditWorklogDialog functions
PullRequestReviewEvent,2023-08-30 10:02:19,Yuri Prykhodko,solid-software/worklog,Task/WLOG - 396 Sign up with email & password
PullRequestReviewCommentEvent,2023-08-30 09:42:25,Yuri Prykhodko,solid-software/worklog,Task/WLOG - 396 Sign up with email & password
PullRequestReviewEvent,2023-08-30 09:48:07,Yuri Prykhodko,solid-software/worklog,Task/WLOG - 396 Sign up with email & password
PullRequestReviewEvent,2023-08-30 09:48:07,Yuri Prykhodko,solid-software/worklog,Task/WLOG - 396 Sign up with email & password
PullRequestReviewCommentEvent,2023-08-30 09:39:16,Yuri Prykhodko,solid-software/worklog,Task/WLOG - 396 Sign up with email & password
PullRequestReviewEvent,2023-08-30 09:39:17,Yuri Prykhodko,solid-software/worklog,Task/WLOG - 396 Sign up with email & password
PullRequestReviewCommentEvent,2023-08-29 18:57:04,Yuri Prykhodko,solid-software/worklog,Deny anon users to see DB structure with anon key
PullRequestReviewEvent,2023-08-29 18:57:16,Yuri Prykhodko,solid-software/worklog,Deny anon users to see DB structure with anon key
PullRequestReviewEvent,2023-08-29 18:57:16,Yuri Prykhodko,solid-software/worklog,Deny anon users to see DB structure with anon key
PullRequestReviewCommentEvent,2023-08-29 18:54:15,Yuri Prykhodko,solid-software/worklog,Task/WLOG - 396 Sign up with email & password
PullRequestReviewEvent,2023-08-29 18:54:16,Yuri Prykhodko,solid-software/worklog,Task/WLOG - 396 Sign up with email & password
PullRequestReviewCommentEvent,2023-08-29 18:52:30,Yuri Prykhodko,solid-software/worklog,Task/Decompose EditWorklogDialog functions
PullRequestReviewEvent,2023-08-29 18:52:31,Yuri Prykhodko,solid-software/worklog,Task/Decompose EditWorklogDialog functions
PullRequestReviewEvent,2023-08-29 15:18:13,Yuri Prykhodko,solid-software/worklog,Task/WLOG - 396 Sign up with email & password
PullRequestReviewCommentEvent,2023-08-29 15:18:12,Yuri Prykhodko,solid-software/worklog,Task/WLOG - 396 Sign up with email & password
PullRequestReviewCommentEvent,2023-08-29 14:17:28,Yuri Prykhodko,solid-software/worklog,Task/WLOG - 396 Sign up with email & password
PullRequestReviewEvent,2023-08-29 14:17:29,Yuri Prykhodko,solid-software/worklog,Task/WLOG - 396 Sign up with email & password
PullRequestReviewEvent,2023-08-28 16:55:13,Yuri Prykhodko,solid-software/worklog,WLOG-397 Enter in project name field - should start tracking if project was not changed
PullRequestReviewCommentEvent,2023-08-28 16:49:52,Yuri Prykhodko,solid-software/worklog,Task/Decompose EditWorklogDialog functions
PullRequestReviewEvent,2023-08-28 16:49:57,Yuri Prykhodko,solid-software/worklog,Task/Decompose EditWorklogDialog functions
PullRequestReviewEvent,2023-08-28 16:49:57,Yuri Prykhodko,solid-software/worklog,Task/Decompose EditWorklogDialog functions
PullRequestReviewCommentEvent,2023-08-28 16:49:29,Yuri Prykhodko,solid-software/worklog,Task/Decompose EditWorklogDialog functions
PullRequestReviewEvent,2023-08-28 16:49:30,Yuri Prykhodko,solid-software/worklog,Task/Decompose EditWorklogDialog functions
PullRequestReviewCommentEvent,2023-08-28 16:47:39,Yuri Prykhodko,solid-software/worklog,Task/Decompose EditWorklogDialog functions
PullRequestReviewEvent,2023-08-28 16:47:40,Yuri Prykhodko,solid-software/worklog,Task/Decompose EditWorklogDialog functions
PullRequestReviewEvent,2023-08-28 16:40:52,Yuri Prykhodko,solid-software/worklog,Task/Remove workspace_invite_type
PullRequestReviewCommentEvent,2023-08-28 16:37:43,Yuri Prykhodko,solid-software/worklog,Task/WLOG - 396 Sign up with email & password
PullRequestReviewEvent,2023-08-28 16:39:28,Yuri Prykhodko,solid-software/worklog,Task/WLOG - 396 Sign up with email & password
PullRequestReviewEvent,2023-08-28 16:39:28,Yuri Prykhodko,solid-software/worklog,Task/WLOG - 396 Sign up with email & password
PullRequestReviewCommentEvent,2023-08-28 16:26:38,Yuri Prykhodko,solid-software/worklog,WLOG-361 Soft deletion
PullRequestReviewEvent,2023-08-28 16:28:25,Yuri Prykhodko,solid-software/worklog,WLOG-361 Soft deletion
PullRequestReviewEvent,2023-08-28 16:28:25,Yuri Prykhodko,solid-software/worklog,WLOG-361 Soft deletion
PullRequestReviewEvent,2023-08-23 19:19:44,Yuri Prykhodko,solid-software/worklog,Hotfix/Bugs encountered when trying to save the worklog
PullRequestReviewCommentEvent,2023-08-23 19:15:01,Yuri Prykhodko,solid-software/worklog,Hotfix/Bugs encountered when trying to save the worklog
PullRequestReviewCommentEvent,2023-08-23 19:12:51,Yuri Prykhodko,solid-software/worklog,Hotfix/Bugs encountered when trying to save the worklog
PullRequestReviewEvent,2023-08-23 19:19:44,Yuri Prykhodko,solid-software/worklog,Hotfix/Bugs encountered when trying to save the worklog
PullRequestReviewCommentEvent,2023-08-23 19:06:31,Yuri Prykhodko,solid-software/worklog,Hotfix/Bugs encountered when trying to save the worklog
PullRequestReviewEvent,2023-08-23 19:06:32,Yuri Prykhodko,solid-software/worklog,Hotfix/Bugs encountered when trying to save the worklog
PullRequestReviewCommentEvent,2023-08-23 19:05:10,Yuri Prykhodko,solid-software/worklog,Hotfix/Bugs encountered when trying to save the worklog
PullRequestReviewEvent,2023-08-23 19:05:12,Yuri Prykhodko,solid-software/worklog,Hotfix/Bugs encountered when trying to save the worklog
